Date,Open,High,Low,Close
2004-07-21,1.2765,1.2765,1.2765,1.2765
2004-07-22,1.2845,1.2845,1.2845,1.2845
2004-07-23,1.247,1.247,1.247,1.247
2004-07-26,1.2495,1.2495,1.2495,1.2495
2004-07-27,1.22,1.22,1.22,1.22
2004-07-28,1.268,1.268,1.268,1.268
2004-07-29,1.2915,1.2915,1.2915,1.2915
2004-07-30,1.308,1.308,1.308,1.308
2004-08-02,1.308,1.308,1.308,1.308
2004-08-03,1.306,1.306,1.306,1.306
2004-08-04,1.298,1.298,1.298,1.298
2004-08-05,1.284,1.284,1.284,1.284
2004-08-06,1.282,1.282,1.282,1.282
2004-08-09,1.282,1.282,1.282,1.282
2004-08-10,1.282,1.282,1.282,1.282
2004-08-11,1.276,1.276,1.276,1.276
2004-08-12,1.27,1.27,1.27,1.27
2004-08-13,1.321,1.321,1.321,1.321
2004-08-16,1.319,1.319,1.319,1.319
2004-08-17,1.3115,1.3115,1.3115,1.3115
2004-08-18,1.274,1.274,1.274,1.274
2004-08-19,1.2855,1.2855,1.2855,1.2855
2004-08-20,1.2715,1.2715,1.2715,1.2715
2004-08-23,1.2395,1.2395,1.2395,1.2395
2004-08-24,1.2415,1.2415,1.2415,1.2415
2004-08-25,1.242,1.242,1.242,1.242
2004-08-26,1.2515,1.2515,1.2515,1.2515
2004-08-27,1.259,1.259,1.259,1.259
2004-08-30,1.262,1.262,1.262,1.262
2004-08-31,1.281,1.281,1.281,1.281
2004-09-01,1.275,1.275,1.275,1.275
2004-09-02,1.2475,1.2475,1.2475,1.2475
2004-09-03,1.2405,1.2405,1.2405,1.2405
2004-09-07,1.273,1.273,1.273,1.273
2004-09-08,1.2575,1.2575,1.2575,1.2575
2004-09-09,1.265,1.265,1.265,1.265
2004-09-10,1.281,1.281,1.281,1.281
2004-09-13,1.2805,1.2805,1.2805,1.2805
2004-09-14,1.278,1.278,1.278,1.278
2004-09-15,1.2675,1.2675,1.2675,1.2675
2004-09-16,1.298,1.298,1.298,1.298
2004-09-17,1.302,1.302,1.302,1.302
2004-09-20,1.311,1.311,1.311,1.311
2004-09-21,1.3415,1.3415,1.3415,1.3415
2004-09-22,1.38,1.38,1.38,1.38
2004-09-23,1.368,1.368,1.368,1.368
2004-09-24,1.362,1.362,1.362,1.362
2004-09-27,1.3855,1.3855,1.3855,1.3855
2004-09-28,1.378,1.378,1.378,1.378
2004-09-29,1.393,1.393,1.393,1.393
2004-09-30,1.4,1.4,1.4,1.4
2004-10-01,1.408,1.408,1.408,1.408
2004-10-04,1.401,1.401,1.401,1.401
2004-10-05,1.4055,1.4055,1.4055,1.4055
2004-10-06,1.4265,1.4265,1.4265,1.4265
2004-10-07,1.4325,1.4325,1.4325,1.4325
2004-10-08,1.4735,1.4735,1.4735,1.4735
2004-10-11,1.4735,1.4735,1.4735,1.4735
2004-10-12,1.453,1.453,1.453,1.453
2004-10-13,1.293,1.293,1.293,1.293
2004-10-14,1.2765,1.2765,1.2765,1.2765
2004-10-15,1.316,1.316,1.316,1.316
2004-10-18,1.291,1.291,1.291,1.291
2004-10-19,1.303,1.303,1.303,1.303
2004-10-20,1.297,1.297,1.297,1.297
2004-10-21,1.3105,1.3105,1.3105,1.3105
2004-10-22,1.3095,1.3095,1.3095,1.3095
2004-10-25,1.28,1.28,1.28,1.28
2004-10-26,1.2865,1.2865,1.2865,1.2865
2004-10-27,1.293,1.293,1.293,1.293
2004-10-28,1.2575,1.2575,1.2575,1.2575
2004-10-29,1.3475,1.3475,1.3475,1.3475
2004-11-01,1.3155,1.3155,1.3155,1.3155
2004-11-02,1.3295,1.3295,1.3295,1.3295
2004-11-03,1.34,1.34,1.34,1.34
2004-11-04,1.361,1.361,1.361,1.361
2004-11-05,1.3785,1.3785,1.3785,1.3785
2004-11-08,1.379,1.379,1.379,1.379
2004-11-09,1.3885,1.3885,1.3885,1.3885
2004-11-10,1.3885,1.3885,1.3885,1.3885
2004-11-11,1.3925,1.3925,1.3925,1.3925
2004-11-12,1.428,1.428,1.428,1.428
2004-11-15,1.4365,1.4365,1.4365,1.4365
2004-11-16,1.419,1.419,1.419,1.419
2004-11-17,1.4555,1.4555,1.4555,1.4555
2004-11-18,1.475,1.475,1.475,1.475
2004-11-19,1.482,1.482,1.482,1.482
2004-11-22,1.459,1.459,1.459,1.459
2004-11-23,1.4675,1.4675,1.4675,1.4675
2004-11-24,1.4885,1.4885,1.4885,1.4885
2004-11-29,1.445,1.445,1.445,1.445
2004-11-30,1.443,1.443,1.443,1.443
2004-12-01,1.4675,1.4675,1.4675,1.4675
2004-12-02,1.437,1.437,1.437,1.437
2004-12-03,1.435,1.435,1.435,1.435
2004-12-06,1.435,1.435,1.435,1.435
2004-12-07,1.406,1.406,1.406,1.406
2004-12-08,1.3755,1.3755,1.3755,1.3755
2004-12-09,1.379,1.379,1.379,1.379
2004-12-10,1.4015,1.4015,1.4015,1.4015
2004-12-13,1.436,1.436,1.436,1.436
2004-12-14,1.444,1.444,1.444,1.444
2004-12-15,1.4645,1.4645,1.4645,1.4645
2004-12-16,1.466,1.466,1.466,1.466
2004-12-17,1.4725,1.4725,1.4725,1.4725
2004-12-20,1.4905,1.4905,1.4905,1.4905
2004-12-21,1.504,1.504,1.504,1.504
